,Time,AX,AY,AZ,GX,GY,GZ
209,61736,42,990,-2,-110,-369,-312
210,61742,50,981,-7,-106,-357,-322
211,61748,57,989,-5,-106,-358,-315
212,61755,45,984,-5,-113,-369,-318
213,61761,34,987,-10,-112,-367,-318
214,61767,43,989,-4,-107,-364,-312
215,61773,48,972,5,-118,-369,-315
216,61780,33,977,5,-119,-364,-316
217,61786,44,983,-11,-110,-361,-310
218,61792,41,985,-15,-118,-367,-298
219,61798,38,984,-18,-113,-358,-297
220,61805,29,992,-33,-113,-355,-301
221,61811,31,987,-43,-113,-361,-300
222,61817,36,976,-44,-112,-358,-297
223,61823,47,979,-57,-121,-355,-291
224,61830,35,987,-58,-119,-363,-291
225,61836,41,982,-62,-122,-366,-292
226,61842,44,983,-65,-121,-366,-294
227,61848,71,962,-63,-106,-381,-294
228,61855,83,983,-68,-115,-369,-295
229,61861,63,989,-55,-115,-373,-285
230,61867,89,986,-49,-104,-378,-292
231,61873,99,970,-48,-101,-385,-288
232,61880,114,977,-82,-100,-385,-282
233,61886,127,977,-79,-92,-399,-276
234,61892,122,983,-60,-91,-399,-283
235,61898,136,978,-67,-100,-394,-283
236,61905,146,968,-66,-95,-400,-285
237,61911,138,976,-68,-89,-409,-283
238,61917,156,966,-67,-89,-406,-288
239,61923,148,978,-71,-94,-412,-288
240,61930,146,972,-25,-92,-409,-292
241,61936,156,964,-64,-83,-403,-295
242,61942,136,977,-60,-95,-403,-292
243,61948,127,980,-65,-91,-403,-286
244,61955,133,974,-65,-100,-400,-291
245,61961,126,975,-61,-94,-403,-286
246,61967,122,976,-66,-104,-400,-288
247,61973,117,976,-64,-97,-400,-283
248,61980,119,977,-64,-100,-394,-289
249,61986,123,978,-61,-103,-393,-286
250,61992,121,977,-64,-100,-402,-283
251,61998,119,979,-63,-92,-402,-294
252,62005,118,979,-60,-95,-406,-280
253,62011,123,976,-60,-88,-399,-286
254,62017,121,977,-58,-92,-399,-291
255,62023,121,978,-60,-97,-397,-292
256,62030,123,976,-61,-107,-399,-289
257,62036,122,981,-61,-100,-400,-289
258,62042,125,979,-61,-94,-400,-285
259,62048,119,978,-62,-95,-405,-288
260,62055,129,971,-67,-100,-393,-288
261,62061,128,970,-60,-98,-396,-288
262,62067,111,983,-59,-104,-394,-289
263,62073,119,977,-59,-106,-391,-304
264,62080,93,990,-51,-101,-388,-285
265,62086,100,974,-59,-107,-391,-291
266,62092,106,984,-68,-101,-390,-288
267,62098,85,985,-49,-110,-381,-285
268,62105,95,976,-54,-100,-379,-294
269,62111,83,986,-59,-106,-381,-295
270,62117,82,983,-51,-101,-375,-289
271,62123,102,974,-47,-116,-384,-288
272,62130,104,976,-42,-107,-391,-306
273,62136,80,983,-32,-109,-381,-301
274,62142,90,984,-36,-112,-376,-313
275,62148,92,981,-39,-109,-378,-304
276,62155,87,977,-37,-104,-381,-304
277,62161,79,982,-30,-110,-378,-313
278,62167,70,985,-23,-106,-378,-301
279,62173,85,984,-32,-104,-372,-312
280,62180,79,985,-30,-101,-382,-309
281,62186,98,977,-16,-94,-375,-310
282,62192,130,978,-19,-100,-373,-318
283,62198,89,992,-19,-100,-382,-325
284,62205,54,987,-1,-103,-381,-322
285,62211,71,987,-2,-101,-378,-319
286,62217,91,978,2,-98,-379,-325
287,62223,70,979,20,-94,-378,-321
288,62230,84,1010,1,-95,-375,-334
289,62236,-38,1102,-76,-94,-381,-331
290,62242,28,1071,-77,-100,-378,-324
291,62248,76,996,-24,-104,-373,-324
292,62255,111,958,-25,-100,-372,-324
293,62261,120,929,-45,-104,-366,-321
294,62267,119,936,-9,-113,-370,-310
295,62273,115,955,4,-106,-376,-313
296,62280,43,944,11,-100,-367,-309
297,62286,31,942,1,-103,-373,-309
298,62292,36,949,-10,-103,-376,-303
299,62298,42,983,-33,-109,-373,-301
300,62305,69,997,-39,-113,-378,-304
301,62311,53,985,-45,-109,-366,-303
302,62317,67,986,-17,-119,-366,-300
303,62323,78,1000,-7,-112,-369,-300
304,62330,72,1013,-17,-110,-369,-301
305,62336,83,983,-35,-110,-367,-294
306,62342,78,986,-53,-107,-364,-298
307,62348,77,973,-68,-109,-358,-289
308,62355,63,980,-53,-104,-376,-297
309,62361,52,978,-19,-119,-361,-285
310,62367,36,990,33,-110,-361,-285
311,62373,34,1017,115,-113,-360,-288
312,62380,57,1007,177,-113,-369,-300
313,62386,73,1017,184,-112,-357,-306
314,62392,86,1009,145,-122,-363,-313
315,62398,93,1024,95,-103,-364,-301
316,62405,100,1014,17,-113,-367,-319
317,62411,80,1005,-45,-94,-372,-337
318,62417,62,1001,-99,-107,-369,-339
319,62423,39,968,-171,-100,-369,-345
320,62430,7,951,-198,-95,-381,-352
321,62436,-7,940,-264,-91,-376,-361
322,62442,-21,950,-331,-101,-376,-355
323,62448,-24,967,-405,-103,-369,-351
324,62455,-42,996,-523,-106,-369,-343
325,62461,-79,1003,-616,-107,-367,-336
326,62467,-65,1062,-602,-109,-361,-313
327,62473,10,1040,198,-124,-351,-291
328,62480,68,1206,48,-122,-349,-280
329,62486,229,1130,452,-124,-342,-252
330,62492,153,1089,563,-127,-336,-235
331,62498,159,1043,533,-125,-345,-237
332,62505,72,980,408,-124,-351,-237
333,62511,41,978,284,-125,-360,-241
334,62517,-5,986,169,-124,-358,-252
335,62523,-17,976,75,-113,-360,-262
336,62530,-42,979,-31,-118,-361,-288
337,62536,-42,976,-130,-107,-361,-291
338,62542,-32,984,-180,-115,-364,-303
339,62548,-11,981,-232,-110,-358,-318
340,62555,-38,1012,-243,-109,-358,-328
341,62561,-51,945,-302,-115,-360,-330
342,62567,248,1538,-646,-118,-355,-324
343,62573,125,956,-25,-113,-358,-319
344,62580,-75,1010,102,-113,-370,-321
345,62586,65,983,2,-113,-357,-321
346,62592,-3,970,11,-112,-369,-319
347,62598,19,976,15,-116,-360,-316
348,62605,28,993,8,-110,-358,-316
349,62611,30,989,11,-113,-364,-322
350,62617,25,983,7,-118,-366,-315
351,62623,23,998,17,-113,-355,-322
352,62630,19,987,32,-115,-358,-336
353,62636,23,977,45,-109,-364,-328
354,62642,21,996,59,-106,-361,-340
355,62648,38,985,72,-107,-370,-340
356,62655,17,1009,111,-103,-366,-354
357,62661,48,964,124,-97,-372,-363
358,62667,62,977,135,-92,-376,-360
359,62673,69,980,144,-95,-382,-372
360,62680,67,972,151,-82,-387,-376
361,62686,101,957,187,-82,-385,-384
362,62692,81,973,176,-80,-388,-387
363,62698,109,955,219,-74,-387,-394
364,62705,63,965,205,-70,-393,-399
365,62711,83,968,218,-64,-397,-394
366,62717,88,954,239,-59,-399,-399
367,62723,109,962,230,-61,-403,-397
368,62730,114,946,268,-55,-403,-397
369,62736,112,954,252,-58,-400,-408
370,62742,100,951,258,-61,-406,-406
371,62748,101,953,256,-58,-405,-405
372,62755,131,949,267,-56,-406,-394
373,62761,80,958,260,-47,-411,-409
374,62767,85,950,261,-61,-418,-400
375,62773,119,949,266,-64,-412,-400
376,62780,118,952,272,-55,-417,-397
377,62786,79,955,244,-59,-405,-393
378,62792,144,945,276,-53,-411,-399
379,62798,162,945,283,-58,-415,-411
380,62805,142,945,277,-55,-414,-400
381,62811,155,958,276,-53,-417,-394
382,62817,144,949,264,-46,-421,-402
383,62823,108,953,256,-50,-417,-405
384,62830,184,944,274,-50,-423,-391
385,62836,186,946,248,-41,-429,-403
386,62842,161,960,245,-47,-435,-382
387,62848,127,957,227,-44,-441,-388
388,62855,129,947,274,-38,-442,-388
389,62861,170,968,231,-32,-450,-382
390,62867,187,929,265,-46,-450,-394
391,62873,210,934,243,-34,-442,-397
392,62880,195,948,252,-35,-451,-393
393,62886,251,952,172,-41,-450,-402
394,62892,144,940,286,-40,-436,-411
395,62898,99,928,344,-32,-427,-417
396,62905,181,965,228,-41,-439,-406
397,62911,211,933,206,-43,-444,-396
398,62917,189,951,209,-43,-442,-384
399,62923,181,962,188,-47,-435,-370
400,62930,206,957,134,-53,-445,-361
401,62936,199,961,113,-44,-445,-342
402,62942,220,962,53,-59,-447,-327
403,62948,232,966,35,-44,-453,-315
404,62955,221,961,30,-56,-447,-304
405,62961,212,970,1,-61,-445,-294
406,62967,213,969,-26,-64,-454,-283
407,62973,214,965,-32,-61,-453,-274
408,62980,212,966,-24,-62,-445,-279
409,62986,217,961,-46,-71,-454,-268
410,62992,223,958,-55,-59,-450,-268
411,62998,209,966,-33,-62,-447,-271
412,63005,220,960,-53,-59,-450,-273
413,63011,219,961,-56,-73,-453,-267
